,id,text,game,cleaned,english,len,sw_removed,stemmed
64,1.36664960993889e+18,https://t.co/ZonDYtCcTv Deathloop trailer explains the gameâ€™s time loop mechanic using time loops https://t.co/KE13dBy4Aa,DeathLoop,https t co zondytcctv deathloop trailer explains the game s time loop mechanic using time loops https t co ke dby aa,t trailer the game s time loop mechanic time t aa,11,trailer time loop mechanic time aa,trailer time loop mechan time aa
65,1.36641381802957e+18,My most anticipated game of the year. https://t.co/umlpMUKaMr,DeathLoop,my most anticipated game of the year https t co umlpmukamr,my most game of the year t,7,year,year
67,1.36537096860932e+18,help i canâ€™t stop watching the DEATHLOOP trailer https://t.co/W2PVSZZFDc,DeathLoop,help i can t stop watching the deathloop trailer https t co w pvszzfdc,help i can t stop watching the trailer t w,10,help stop watching trailer,help stop watch trailer
69,1.36516707822793e+18,Final Fantasy fans getting me content with the Yuffie update. Also PS5 enhancements for free!! Yay! Kena got a release date which is great. I know many people are eager to play it! Sorry donâ€™t really care about Deathloop even though I love Arkane. Also!...,DeathLoop,final fantasy fans getting me content with the yuffie update also ps enhancements for free yay kena got a release date which is great i know many people are eager to play it sorry don t really care about deathloop even though i love arkane also,final fantasy getting me content with the update also for free got a release date which is great i know many people are eager to play it sorry don t really care about even though i love also,38,final fantasy getting content update also free got release date great know many people eager sorry really care even though love also,final fantasi get content updat also free got releas date great know mani peopl eager sorri realli care even though love also
70,1.36512264570503e+18,@BlaktimusPrime I'm just hype af about all the FF7 news. Deathloop looks cool af too,DeathLoop,blaktimusprime i m just hype af about all the ff news deathloop looks cool af too,i m just about all the news cool too,9,news cool,news cool
72,1.36510696124773e+18,DEATHLOOP STILL LOOKS SUPER COOL I LOVE THIS THEME SONG ,DeathLoop,deathloop still looks super cool i love this theme song,still super cool i love this theme song,8,still super cool love theme song,still super cool love theme song
73,1.36509344813986e+18,Preorder confirmed. At that time the list of other games like Deathloop for digital order and Returnal for disc. https://t.co/FD3hKmUSDq,DeathLoop,preorder confirmed at that time the list of other games like deathloop for digital order and returnal for disc https t co fd hkmusdq,preorder confirmed at that time the list of other like for digital order and for disc t,17,preorder confirmed time list like digital order disc,preorder confirm time list like digit order disc
74,1.36508287562479e+18,"@TheSeshEmpire @geoffkeighley @Colteastwood @PlayStation That's what I was going to say too lol. It was weak with a few good titles shown. Like Kenya, deathloop and FF7 remake game. The rest were blah to me.",DeathLoop,theseshempire geoffkeighley colteastwood playstation that s what i was going to say too lol it was weak with a few good titles shown like kenya deathloop and ff remake game the rest were blah to me,that s what i was going to say too it was weak with a few good shown like and remake game the rest were blah to me,27,going say weak good shown like remake rest blah,go say weak good shown like remak rest blah
75,1.36507232889228e+18,"@VValkyrieNew Last time I checked, Deathloop is releasing on PC the same day as the PS5 version.",DeathLoop,vvalkyrienew last time i checked deathloop is releasing on pc the same day as the ps version,last time i checked is on the same day as the version,12,last time checked day version,last time check day version
76,1.36506865018568e+18,So the #StateofPlay was kinda dry but Deathloop looks pretty good and thereâ€™s something to hold me over for FFVII Remake Part II. The highlight for me was Miss Kena,DeathLoop,so the stateofplay was kinda dry but deathloop looks pretty good and there s something to hold me over for ffvii remake part ii the highlight for me was miss kena,so the was dry but pretty good and there s something to hold me over for remake part the highlight for me was miss,24,dry pretty good something hold remake part highlight miss,dri pretti good someth hold remak part highlight miss
